l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
64.0,16.0,8.0,512.0,8.0,128.0,1186.0,3.584,1189.584,1.840462224,238.6723697792
16.0,16.0,8.0,128.0,8.0,128.0,418.0,1.28,419.28,2.607239384,85.68579150720001
8.0,8.0,4.0,128.0,1.0,32.0,272.25,4.096,276.346,3.502744056,57.252195244800006
4.0,4.0,2.0,8.0,2.0,16.0,80.5,8.704,89.20400000000001,5.949304608,20.859443686400002
1.0,1.0,1.0,16.0,4.0,32.0,37.0,0.256,37.256,5.332332024,11.665865619200002
16.0,16.0,2.0,1024.0,2.0,16.0,1288.5,98.304,1386.804,2.7418970959999998,259.8935176768
4.0,2.0,8.0,8.0,2.0,128.0,88.5,0.256,88.756,4.897868952,21.6182951616
2.0,2.0,8.0,512.0,8.0,128.0,578.0,1.1520000000000001,579.152,2.037164448,117.2297315584
16.0,16.0,2.0,64.0,2.0,512.0,328.5,1.1520000000000001,329.652,1.225153758993393,66.68012300719472
4.0,2.0,2.0,512.0,2.0,128.0,568.5,4.864,573.364,2.1195,115.3956
64.0,64.0,2.0,128.0,8.0,128.0,1162.0,16.64,1178.64,2.499859608,234.3998876864
1.0,1.0,1.0,128.0,1.0,64.0,148.25,0.0,148.25,3.717210352,32.6237682816
2.0,2.0,8.0,512.0,2.0,16.0,576.5,33.792,610.292,3.321666112,117.95733288960001
16.0,16.0,1.0,1024.0,4.0,16.0,1285.0,32.768,1317.768,2.732118104,259.1856944832
2.0,32.0,2.0,512.0,2.0,128.0,792.5,8.448,800.948,2.038541832,160.1308334656
4.0,2.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,4.90113648,16.820909184
8.0,8.0,1.0,1024.0,4.0,32.0,1157.0,16.384,1173.384,2.845514176,233.6764113408
128.0,1.0,4.0,1024.0,1.0,32.0,2072.25,33.024,2105.274,2.953657624,416.81292609920007
128.0,8.0,4.0,1024.0,1.0,32.0,2128.25,34.816,2163.066,2.835638928,427.9185111424
8.0,1.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,3.488736968,43.7909895744
16.0,16.0,1.0,128.0,1.0,16.0,388.25,0.0,388.25,3.502247864,80.4517982912
16.0,16.0,1.0,256.0,4.0,16.0,517.0,8.192,525.192,3.105680184,105.8845441472
16.0,16.0,2.0,128.0,8.0,16.0,394.0,34.816,428.81600000000003,3.214433576,81.37154686080001
1.0,1.0,4.0,128.0,1.0,32.0,160.25,0.512,160.762,4.138035232,35.36042818560001
1.0,1.0,1.0,128.0,1.0,32.0,148.25,0.0,148.25,4.465978423999999,33.2227827392
4.0,4.0,8.0,8.0,2.0,16.0,104.5,2.56,107.06,5.491646024,25.2933168192
1.0,128.0,4.0,1024.0,4.0,32.0,2073.0,49.408,2122.408,2.93690996,416.94952796800004
4.0,2.0,8.0,8.0,8.0,16.0,90.0,1.6640000000000001,91.664,5.373816792,22.2990534336
4.0,32.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,3.040712712,169.23257016960002
1.0,1.0,4.0,16.0,1.0,32.0,48.25,0.512,48.762,6.587020672,14.919616537600001
