l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
128.0,8.0,4.0,1024.0,4.0,32.0,2129.0,51.2,2180.2,3.821362392,428.8570899136
16.0,16.0,8.0,64.0,2.0,128.0,352.5,1.536,354.036,1.926259232,72.0410073856
16.0,64.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,1.752989312,161.8023914496
4.0,4.0,8.0,8.0,2.0,16.0,104.5,2.56,107.06,11.511602696,30.109282156800003
1.0,1.0,4.0,4.0,4.0,32.0,37.0,0.5760000000000001,37.576,9.939047136,15.3512377088
128.0,8.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,3.845419616,426.3263356928
4.0,4.0,8.0,512.0,2.0,16.0,608.5,34.816,643.316,6.905359496,127.2242875968
16.0,64.0,2.0,512.0,2.0,128.0,1160.5,14.336,1174.836,1.7499841200000001,233.49998729600003
1.0,8.0,4.0,1024.0,1.0,32.0,1112.25,2.3040000000000003,1114.554,4.1376876639999995,225.76015013120002
128.0,8.0,4.0,1024.0,1.0,32.0,2128.25,34.816,2163.066,3.823408632,428.70872690560003
1.0,1.0,1.0,128.0,4.0,64.0,149.0,1.024,150.024,2.883272296,32.1066178368
1.0,8.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,6.098605512,23.478884409600003
2.0,2.0,8.0,8.0,2.0,16.0,72.5,1.536,74.036,12.690199008,24.6521592064
1.0,1.0,4.0,16.0,4.0,32.0,49.0,0.768,49.768,6.801776576,15.241421260800001
1.0,1.0,1.0,4.0,1.0,32.0,24.25,0.0,24.25,10.690415672,13.4023325376
2.0,4.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,7.031866216,124.42549297280001
2.0,2.0,2.0,8.0,8.0,16.0,50.0,4.224,54.224000000000004,12.63099224,20.104793792000002
8.0,1.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,4.166832264,223.3834658112
1.0,1.0,1.0,1024.0,4.0,32.0,1045.0,16.384,1061.384,4.352123992,212.4816991936
1.0,1.0,1.0,16.0,1.0,64.0,36.25,0.0,36.25,5.455085416,11.6140683328
8.0,128.0,4.0,1024.0,4.0,32.0,2129.0,51.2,2180.2,3.919308576,428.9354468608
128.0,1.0,1.0,1024.0,4.0,32.0,2061.0,16.384,2077.384,4.022559536,415.4180476288
